,Time,Artist Notes,Singer Notes,Difference in frequency,Significant Difference
0,0.0,None,D#3,-152.2525527479549,Yes
1,0.05,None,D#3,-151.55159817901526,Yes
2,0.1,None,D3,-149.96154530634018,Yes
3,0.15,None,D3,-149.96835739517252,Yes
4,0.2,None,C#3,-138.63166298705474,Yes
5,0.25,None,C3,-131.20374860639632,Yes
6,0.3,None,C3,-130.6762307118452,Yes
7,0.35,None,C3,-128.67176754300988,Yes
8,0.4,None,C3,-130.65255253583854,Yes
9,0.45,None,C3,-129.30492746250837,Yes
10,0.5,None,C3,-127.86119833290839,Yes
11,0.55,None,B2,-125.52602765347669,Yes
12,0.6,None,A2,-112.12470657262598,Yes
13,0.65,None,A#2,-116.65466912945519,Yes
14,0.7,C1,A#2,-83.08803511282474,No
15,0.75,C1,A#2,-81.45051575964393,No
16,0.8,None,A2,-110.20232305724161,Yes
17,0.85,None,A2,-109.10165652072357,Yes
18,0.9,None,G#2,-106.5049344628215,Yes
19,0.95,C1,A2,-77.34568820258588,No
20,1.0,C1,G#2,-73.99206858714197,No
21,1.05,C1,A2,-75.87119734365962,No
22,1.1,C1,G#2,-74.23192337869389,No
23,1.15,None,A2,-109.29566538460304,Yes
24,1.2,None,A2,-110.60295885491173,Yes
25,1.25,None,A#2,-114.70393767183516,Yes
26,1.3,C#1,B2,-86.27860548534437,No
27,1.35,C1,A#2,-82.45484198072965,No
28,1.4,C1,A#2,-81.00476724256598,No
29,1.45,C1,A2,-79.5810642595443,No
30,1.5,C1,A2,-77.77493406582687,No
31,1.55,C#1,A2,-77.51605626298795,No
32,1.6,C1,A2,-77.67127201821705,No
33,1.65,C1,A2,-77.96635546746117,No
34,1.7,C1,A2,-74.63662604493983,No
35,1.75,None,G#2,-105.52007210639373,Yes
36,1.8,None,G2,-100.48404029869974,Yes
37,1.85,C1,G#2,-69.45862763103247,No
38,1.9,None,A2,-107.64331494306927,Yes
39,1.95,C1,A2,-78.71086809006349,No
40,2.0,C1,A2,-79.0786397134317,No
41,2.05,C1,A2,-77.78838295995004,No
42,2.1,C1,A2,-77.52690760494445,No
43,2.15,None,A#2,-114.71332183425986,Yes
44,2.2,None,G#2,-105.4879978630082,Yes
45,2.25,C1,G#2,-72.28779932451158,No
46,2.3,None,G#2,-105.92724918692909,Yes
47,2.35,C1,A#2,-82.7294394164147,No
48,2.4,C1,G2,-67.97576124822024,No
49,2.45,None,G2,-98.50425866940357,No
50,2.5,C1,G2,-68.05055197391295,No
51,2.55,C1,G2,-66.75704483457821,No
52,2.6,C1,G#2,-69.37240394083527,No
53,2.65,C1,G2,-67.77838836758923,No
54,2.7,None,A2,-107.03765871951781,Yes
55,2.75,None,A2,-111.05071856665066,Yes
56,2.8,None,A#2,-119.5315804151403,Yes
57,2.85,C1,B2,-92.67299713296416,No
58,2.9,C1,C#3,-103.11360263975898,Yes
59,2.95,C1,D3,-110.62293779196168,Yes
60,3.0,None,C#3,-141.0086687621777,Yes
